variant_A,variant_B,ces_A0,ces_B0,ces_A_on_B,ces_B_on_A,p_A_change,p_B_change,p_epistasis,expected_nAB_epistasis,expected_nAB_null,AB_epistatic_ratio,ces_A_null,ces_B_null,nA0,nB0,nAB,n00,n_total,ci_low_95_ces_A0,ci_high_95_ces_A0,ci_low_95_ces_B0,ci_high_95_ces_B0,ci_low_95_ces_A_on_B,ci_high_95_ces_A_on_B,ci_low_95_ces_B_on_A,ci_high_95_ces_B_on_A,cohort
ENSG00000291313,P4HA1,466256.693247389,194396.72257628,235208867.40186,0.001,0.606547518265966,0.998429987526527,0.0155846179468936,1.0828841751951,0.0118478339273692,91.3993377889586,698825.922921731,193930.284383822,2,1,1,489,493,77528.9117399013,1439728.75130598,32324.0947437034,600267.121337076,11510563.9103718,,,137070092.069761,CLCA
ENSG00000291313,PIK3CA,701091.821898229,644221.85075046,0.001,0.001,0.990358007880219,0.985828453878094,0.976323199526647,3.45029222206805e-11,0.0229470889107522,1.50358602587336e-09,698825.922921731,641912.398767851,3,4,0,486,493,174352.787268822,1818005.50289324,199994.394361826,1496564.93524907,,153848557.35191,,98662215.2269401,CLCA
ENSG00000291313,STAT3,700598.250223148,2883140.3981292,0.001,0.001,0.99244020304183,0.990919066411422,0.983427978615163,1.96336285987822e-11,0.0219641720287656,8.93893408459415e-10,698825.922921731,2877868.28749327,3,5,0,485,493,174230.37289525,1816726.44687304,1033873.35547408,6196923.00298013,,195314020.139079,,703498830.823654,CLCA
ENSG00000291313,TP53,850567.508712892,623592.421322825,0.001,0.001,0.555144125918596,0.634630913416485,0.352387371978644,1.55187576678095e-09,0.861657517998105,1.80103548610176e-09,698825.922921731,621436.350437663,3,147,0,343,493,211496.751782598,2206255.29878256,527620.987092718,730707.448654233,,2516220.41847677,,2879823.42654197,CLCA
IL6ST,JAK1,1461806.75150267,1595261.1388742,0.001,0.001,0.935718909861371,0.919292891476211,0.860202770016761,1.02997501152946e-10,0.152493387933103,6.75422735037729e-10,1437683.4122234,1588492.62566673,4,20,0,469,493,453815.671147582,3395952.15079665,994244.728635145,2400235.80613121,,42673660.6166867,,40662451.9779252,CLCA
IL6ST,NFIC,1442155.55968169,290199.135107984,0.001,0.001,0.987685136856845,0.990376593411994,0.978180308815767,5.26350846588586e-11,0.0251985184160723,2.08881664349307e-09,1437683.4122234,289260.205694588,4,3,0,486,493,447714.562321623,3350241.85990074,72168.1274384517,752509.502556967,,259952414.542956,,65015982.808303,CLCA
IL6ST,P4HA1,1439912.50970586,195197.054551388,0.001,0.001,0.993834435759555,0.987080017841227,0.980994170742936,4.67912236463541e-11,0.0159194562945835,2.93924759618044e-09,1437683.4122234,193930.284383822,4,2,0,487,493,447020.453922623,3345036.7873558,32457.0729191408,602744.765638541,,566389015.604272,,32995770.9186007,CLCA
IL6ST,PIK3CA,1445936.98406983,645739.554666507,0.001,0.001,0.977416937392683,0.976565811651561,0.954512293452414,3.57838539615657e-11,0.0314795349644268,1.1367338812979e-09,1437683.4122234,641912.398767851,4,4,0,485,493,448887.825724652,3359044.40833286,200468.208649918,1500121.43098936,,133739032.286172,,57685033.6607336,CLCA
IL6ST,STAT3,1440861.5864801,2891145.38927413,0.001,0.001,0.991235227502962,0.977315206936072,0.968749437246102,1.71890025000079e-11,0.0327105050303649,5.25488753048952e-10,1437683.4122234,2877868.28749327,4,5,0,484,493,447314.73422281,3347238.6906731,1036739.27138856,6214179.30972688,,345959111.743255,,287735514.934642,CLCA
IL6ST,TP53,1746829.66380633,619881.534895129,0.001,961840.773799452,0.93072334840836,0.963296218462188,0.899236551384882,0.965674025974947,1.16495387548148,0.828937562507207,1437683.4122234,621436.350437663,3,146,1,343,493,542217.330158064,4059251.75277861,524172.67309361,726743.997450376,,6695672.17884394,52267.0487225424,5458517.98042757,CLCA
